timestamp,route_id,hour,day_of_week,weather,weather_code,has_event,congestion_pct,current_speed,freeflow_speed,confidence
2026-01-09T15:57:37.092011,R001,0,4,clear,0,0,1.23,59.37,60,0.89
2026-01-09T15:57:37.092011,R002,0,4,clear,0,0,2.51,53.83,55,0.92
2026-01-09T15:57:37.092011,R003,0,4,clear,0,0,9.01,64.64,70,0.99
2026-01-09T15:57:37.092011,R004,0,4,clear,0,0,9.28,41.45,45,0.95
2026-01-09T15:57:37.092011,R005,0,4,clear,0,0,3.29,38.88,40,0.93
2026-01-09T16:57:37.092011,R001,1,4,clear,0,0,11.02,54.38,60,0.93
2026-01-09T16:57:37.092011,R002,1,4,clear,0,0,0.0,55.0,55,0.89
2026-01-09T16:57:37.092011,R003,1,4,clear,0,0,11.03,63.44,70,0.95
2026-01-09T16:57:37.092011,R004,1,4,clear,0,0,0.0,45.0,45,0.85
2026-01-09T16:57:37.092011,R005,1,4,clear,0,0,8.77,37.02,40,0.95
2026-01-09T17:57:37.092011,R001,2,4,clear,0,0,0.0,60.0,60,0.9
2026-01-09T17:57:37.092011,R002,2,4,clear,0,0,0.07,54.97,55,0.95
2026-01-09T17:57:37.092011,R003,2,4,clear,0,0,6.84,65.93,70,0.95
2026-01-09T17:57:37.092011,R004,2,4,clear,0,0,0.0,45.0,45,0.94
2026-01-09T17:57:37.092011,R005,2,4,clear,0,0,4.52,38.46,40,0.91
2026-01-09T18:57:37.092011,R001,3,4,clear,0,0,1.02,59.48,60,0.98
2026-01-09T18:57:37.092011,R002,3,4,clear,0,0,0.99,54.54,55,0.95
2026-01-09T18:57:37.092011,R003,3,4,clear,0,0,3.88,67.69,70,0.94
2026-01-09T18:57:37.092011,R004,3,4,clear,0,0,3.24,43.76,45,0.94
2026-01-09T18:57:37.092011,R005,3,4,clear,0,0,9.41,36.8,40,0.9
2026-01-09T19:57:37.092011,R001,4,4,clear,0,0,9.8,55.0,60,0.93
2026-01-09T19:57:37.092011,R002,4,4,clear,0,0,10.36,50.15,55,0.93
2026-01-09T19:57:37.092011,R003,4,4,clear,0,0,4.46,67.35,70,0.88
2026-01-09T19:57:37.092011,R004,4,4,clear,0,0,6.77,42.41,45,0.96
2026-01-09T19:57:37.092011,R005,4,4,clear,0,0,13.41,35.44,40,0.86
2026-01-09T20:57:37.092011,R001,5,4,clear,0,0,23.71,47.91,60,0.98
2026-01-09T20:57:37.092011,R002,5,4,clear,0,0,20.01,45.64,55,0.96
2026-01-09T20:57:37.092011,R003,5,4,clear,0,0,14.84,61.17,70,0.95
2026-01-09T20:57:37.092011,R004,5,4,clear,0,0,18.96,37.75,45,0.94
2026-01-09T20:57:37.092011,R005,5,4,clear,0,0,11.22,36.19,40,0.95
2026-01-09T21:57:37.092011,R001,6,4,clear,0,0,55.8,31.54,60,0.87
2026-01-09T21:57:37.092011,R002,6,4,clear,0,0,50.8,31.25,55,0.9
2026-01-09T21:57:37.092011,R003,6,4,clear,0,0,53.96,37.9,70,0.92
2026-01-09T21:57:37.092011,R004,6,4,clear,0,0,60.59,21.83,45,0.95
2026-01-09T21:57:37.092011,R005,6,4,clear,0,0,60.01,19.6,40,0.94
2026-01-09T22:57:37.092011,R001,7,4,clear,0,0,90.06,14.07,60,0.96
2026-01-09T22:57:37.092011,R002,7,4,clear,0,0,88.81,13.48,55,0.86
2026-01-09T22:57:37.092011,R003,7,4,clear,0,0,92.22,15.13,70,0.86
2026-01-09T22:57:37.092011,R004,7,4,clear,0,0,84.44,12.7,45,0.99
2026-01-09T22:57:37.092011,R005,7,4,clear,0,0,93.72,8.13,40,0.95
2026-01-09T23:57:37.092011,R001,8,4,clear,0,0,98.57,9.73,60,0.98
2026-01-09T23:57:37.092011,R002,8,4,clear,0,0,95.22,10.49,55,0.94
2026-01-09T23:57:37.092011,R003,8,4,clear,0,0,99.0,11.1,70,0.88
2026-01-09T23:57:37.092011,R004,8,4,clear,0,0,100.0,6.75,45,0.93
2026-01-09T23:57:37.092011,R005,8,4,clear,0,0,100.0,6.0,40,0.93
2026-01-10T00:57:37.092011,R001,9,4,clear,0,0,95.53,11.28,60,0.97
2026-01-10T00:57:37.092011,R002,9,4,clear,0,0,100.0,8.25,55,0.98
2026-01-10T00:57:37.092011,R003,9,4,clear,0,0,98.69,11.28,70,0.85
2026-01-10T00:57:37.092011,R004,9,4,clear,0,0,97.9,7.55,45,0.98
2026-01-10T00:57:37.092011,R005,9,4,clear,0,0,100.0,6.0,40,0.98
2026-01-10T01:57:37.092011,R001,10,4,clear,0,0,66.54,26.07,60,0.97
2026-01-10T01:57:37.092011,R002,10,4,clear,0,0,67.48,23.45,55,0.92
2026-01-10T01:57:37.092011,R003,10,4,clear,0,0,64.11,31.86,70,0.93
2026-01-10T01:57:37.092011,R004,10,4,clear,0,0,58.55,22.61,45,0.86
2026-01-10T01:57:37.092011,R005,10,4,clear,0,0,65.07,17.88,40,0.85
2026-01-10T02:57:37.092011,R001,11,4,clear,0,0,62.28,28.24,60,0.95
2026-01-10T02:57:37.092011,R002,11,4,clear,0,0,59.3,27.28,55,0.94
2026-01-10T02:57:37.092011,R003,11,4,clear,0,0,57.69,35.67,70,0.9
2026-01-10T02:57:37.092011,R004,11,4,clear,0,0,41.79,29.01,45,0.86
2026-01-10T02:57:37.092011,R005,11,4,clear,0,0,55.7,21.06,40,0.96
2026-01-10T03:57:37.092011,R001,12,4,clear,0,0,71.77,23.4,60,0.94
2026-01-10T03:57:37.092011,R002,12,4,clear,0,0,54.71,29.42,55,0.91
2026-01-10T03:57:37.092011,R003,12,4,clear,0,0,58.75,35.04,70,0.86
2026-01-10T03:57:37.092011,R004,12,4,clear,0,0,76.71,15.66,45,0.95
2026-01-10T03:57:37.092011,R005,12,4,clear,0,0,61.9,18.95,40,0.9
2026-01-10T04:57:37.092011,R001,13,4,clear,0,0,72.7,22.92,60,0.9
2026-01-10T04:57:37.092011,R002,13,4,clear,0,0,62.6,25.73,55,0.94
2026-01-10T04:57:37.092011,R003,13,4,clear,0,0,74.5,25.67,70,0.96
2026-01-10T04:57:37.092011,R004,13,4,clear,0,0,67.36,19.23,45,0.92
2026-01-10T04:57:37.092011,R005,13,4,clear,0,0,64.47,18.08,40,0.91
2026-01-10T05:57:37.092011,R001,14,4,clear,0,0,65.44,26.63,60,0.86
2026-01-10T05:57:37.092011,R002,14,4,clear,0,0,67.21,23.58,55,0.9
2026-01-10T05:57:37.092011,R003,14,4,clear,0,0,69.09,28.89,70,0.86
2026-01-10T05:57:37.092011,R004,14,4,clear,0,0,61.44,21.5,45,0.85
2026-01-10T05:57:37.092011,R005,14,4,clear,0,0,80.82,12.52,40,0.88
2026-01-10T06:57:37.092011,R001,15,4,clear,0,0,74.34,22.08,60,0.95
2026-01-10T06:57:37.092011,R002,15,4,clear,0,0,63.53,25.3,55,0.97
2026-01-10T06:57:37.092011,R003,15,4,clear,0,0,76.37,24.56,70,0.91
2026-01-10T06:57:37.092011,R004,15,4,clear,0,0,71.8,17.54,45,0.93
2026-01-10T06:57:37.092011,R005,15,4,clear,0,0,72.2,15.45,40,0.99
2026-01-10T07:57:37.092011,R001,16,4,clear,0,0,80.09,19.15,60,0.98
2026-01-10T07:57:37.092011,R002,16,4,clear,0,0,81.56,16.87,55,0.89
2026-01-10T07:57:37.092011,R003,16,4,clear,0,0,82.14,21.13,70,0.94
2026-01-10T07:57:37.092011,R004,16,4,clear,0,0,81.4,13.86,45,0.88
2026-01-10T07:57:37.092011,R005,16,4,clear,0,0,76.54,13.97,40,0.9
2026-01-10T08:57:37.092011,R001,17,4,clear,0,1,97.6,10.23,60,0.86
2026-01-10T08:57:37.092011,R002,17,4,clear,0,1,100.0,8.25,55,0.87
2026-01-10T08:57:37.092011,R003,17,4,clear,0,1,95.62,13.1,70,0.96
2026-01-10T08:57:37.092011,R004,17,4,clear,0,1,90.53,10.37,45,0.85
2026-01-10T08:57:37.092011,R005,17,4,clear,0,1,100.0,6.0,40,0.88
2026-01-10T09:57:37.092011,R001,18,4,clear,0,1,100.0,9.0,60,0.94
2026-01-10T09:57:37.092011,R002,18,4,clear,0,1,100.0,8.25,55,0.85
2026-01-10T09:57:37.092011,R003,18,4,clear,0,1,100.0,10.5,70,0.86
2026-01-10T09:57:37.092011,R004,18,4,clear,0,1,100.0,6.75,45,0.97
2026-01-10T09:57:37.092011,R005,18,4,clear,0,1,100.0,6.0,40,0.93
2026-01-10T10:57:37.092011,R001,19,4,clear,0,1,100.0,9.0,60,0.85
2026-01-10T10:57:37.092011,R002,19,4,clear,0,1,100.0,8.25,55,0.91
2026-01-10T10:57:37.092011,R003,19,4,clear,0,1,100.0,10.5,70,0.86
2026-01-10T10:57:37.092011,R004,19,4,clear,0,1,100.0,6.75,45,0.97
